Novel (title),Syllabus (name),,Robinson Crusoe,Moll Flanders
,,,Mansfield Park,Emma
,,,Mansfield Park,Persuasion
,,,The Man of Feeling,The Female Quixote
,,,The Man of Feeling,The Castle of Otranto
,,,The Man of Feeling,The Life of Olaudah Equiano
,,,A Sicilian Romance,The Man of Feeling
,,,"Maria; or, the Wrongs of a Woman",The Man of Feeling
,,,"Fantomina: or, Love in a Maze",Familiar Letters
,,,"Fantomina: or, Love in a Maze",Shamela
,,,"Fantomina: or, Love in a Maze",Joseph Andrews
,,,"Fantomina: or, Love in a Maze",A Sentimental Journey
,,,"Fantomina: or, Love in a Maze",Eloge de Richardson
,,,"Fantomina: or, Love in a Maze",Northanger Abbey
,,,"Fantomina: or, Love in a Maze",Sense and Sensibility
,,,"Fantomina: or, Love in a Maze",Emma
,,,"Fantomina: or, Love in a Maze",Persuasion
,,,Familiar Letters,Shamela
,,,Familiar Letters,Joseph Andrews
,,,Familiar Letters,A Sentimental Journey
,,,Familiar Letters,Eloge de Richardson
,,,Familiar Letters,Northanger Abbey
,,,Familiar Letters,Sense and Sensibility
,,,Familiar Letters,Emma
,,,Familiar Letters,Persuasion
,,,Shamela,Joseph Andrews
,,,Shamela,A Sentimental Journey
,,,Shamela,Eloge de Richardson
,,,Shamela,Northanger Abbey
,,,Shamela,Sense and Sensibility
,,,Shamela,Emma
,,,Shamela,Persuasion
,,,Shamela,A Description of the New World Called The Blazing World
,,,Shamela,A Simple Story
,,,Joseph Andrews,A Sentimental Journey
,,,Joseph Andrews,Eloge de Richardson
,,,Joseph Andrews,Northanger Abbey
,,,Joseph Andrews,Sense and Sensibility
,,,Joseph Andrews,Emma
,,,Joseph Andrews,Persuasion
,,,Joseph Andrews,A Description of the New World Called The Blazing World
,,,Joseph Andrews,A Simple Story
,,,Joseph Andrews,The Fair Jilt
,,,Joseph Andrews,The Monk
,,,A Sentimental Journey,Eloge de Richardson
,,,A Sentimental Journey,Northanger Abbey
,,,A Sentimental Journey,Sense and Sensibility
,,,A Sentimental Journey,Emma
,,,A Sentimental Journey,Persuasion
,,,A Sentimental Journey,A Simple Story
,,,A Sentimental Journey,The Fair Jilt
,,,A Sentimental Journey,The Monk
,,,Eloge de Richardson,Northanger Abbey
,,,Eloge de Richardson,Sense and Sensibility
,,,Eloge de Richardson,Emma
,,,Eloge de Richardson,Persuasion
,,,Northanger Abbey,Sense and Sensibility
,,,Northanger Abbey,Emma
,,,Northanger Abbey,Persuasion
,,,Sense and Sensibility,Emma
,,,Emma,Persuasion
,,,Persuasion,Sense and Sensibility
,,,The Female Quixote,The Castle of Otranto
,,,The Female Quixote,The Life of Olaudah Equiano
,,,The Castle of Otranto,The Life of Olaudah Equiano
,,,A Description of the New World Called The Blazing World,A Simple Story
,,,The Fair Jilt,The Monk
,,,The Fair Jilt,Pamela
,,,The Monk,Pamela
